epoch,binary_accuracy,f1_score,false_negatives,false_positives,loss,precision,recall,val_binary_accuracy,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall
0,0.7295489311218262,0.8520020842552185,253.0,1162.0,0.5090134739875793,0.7575125098228455,0.9348441958427429,0.6266025900840759,0.7692307233810425,0.0,233.0,0.5412383675575256,0.6260032057762146,1.0
1,0.8763379454612732,0.8520020842552185,76.0,571.0,0.3279728889465332,0.8695751428604126,0.9804275035858154,0.7467948794364929,0.7692307233810425,3.0,155.0,0.44751664996147156,0.714022159576416,0.9923076629638672
2,0.9373088479042053,0.8520020842552185,125.0,203.0,0.24309392273426056,0.9487503170967102,0.9678083658218384,0.7804487347602844,0.7692307233810425,4.0,133.0,0.4178166091442108,0.7437379360198975,0.9897435903549194
3,0.9455274939537048,0.8520020842552185,155.0,130.0,0.19832392036914825,0.9663037657737732,0.9600824117660522,0.8012820482254028,0.7692307233810425,3.0,121.0,0.40330272912979126,0.7618110179901123,0.9923076629638672
4,0.947629988193512,0.8520020842552185,149.0,125.0,0.1742134392261505,0.9676082134246826,0.9616276025772095,0.8125,0.7692307233810425,3.0,114.0,0.39335885643959045,0.772455096244812,0.9923076629638672
5,0.9535550475120544,0.8520020842552185,136.0,107.0,0.15790942311286926,0.9722366333007812,0.9649755358695984,0.817307710647583,0.7692307233810425,3.0,111.0,0.3886374533176422,0.7771084308624268,0.9923076629638672
6,0.9525994062423706,0.8520020842552185,136.0,112.0,0.14542141556739807,0.9709769487380981,0.9649755358695984,0.8189102411270142,0.7692307233810425,3.0,110.0,0.396978497505188,0.7786720395088196,0.9923076629638672
7,0.956230878829956,0.8520020842552185,133.0,96.0,0.13657596707344055,0.975039005279541,0.965748131275177,0.8301281929016113,0.7692307233810425,3.0,103.0,0.393159419298172,0.7897959351539612,0.9923076629638672
8,0.959289014339447,0.8520020842552185,115.0,98.0,0.12765151262283325,0.9746508002281189,0.9703837037086487,0.8301281929016113,0.7692307233810425,3.0,103.0,0.40046215057373047,0.7897959351539612,0.9923076629638672
9,0.9606269001960754,0.8520020842552185,113.0,93.0,0.121473029255867,0.9759254455566406,0.9708988070487976,0.8301281929016113,0.7692307233810425,3.0,103.0,0.4004751443862915,0.7897959351539612,0.9923076629638672
