epoch,binary_accuracy,f1_score,false_negatives,false_positives,loss,precision,recall,val_binary_accuracy,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall
0,0.7828746438026428,0.8520020842552185,30.0,1106.0,0.45975813269615173,0.776971161365509,0.9922739863395691,0.6474359035491943,0.7692307233810425,0.0,220.0,0.556049108505249,0.6393442749977112,1.0
1,0.9053899049758911,0.8520020842552185,57.0,438.0,0.29555150866508484,0.8972795605659485,0.9853206276893616,0.7275640964508057,0.7692307233810425,6.0,164.0,0.493135929107666,0.7007299065589905,0.9846153855323792
2,0.9319571852684021,0.8520020842552185,91.0,265.0,0.23181386291980743,0.9346808195114136,0.9765645265579224,0.7435897588729858,0.7692307233810425,7.0,153.0,0.4794013798236847,0.7145522236824036,0.9820512533187866
3,0.9363532066345215,0.8520020842552185,101.0,232.0,0.19907011091709137,0.9422022700309753,0.9739891886711121,0.7435897588729858,0.7692307233810425,6.0,154.0,0.49993181228637695,0.7137546539306641,0.9846153855323792
4,0.939793586730957,0.8520020842552185,116.0,199.0,0.17989857494831085,0.9498234987258911,0.970126211643219,0.7532051205635071,0.7692307233810425,7.0,147.0,0.48292723298072815,0.7226415276527405,0.9820512533187866
5,0.9438073635101318,0.8520020842552185,122.0,172.0,0.16778723895549774,0.9562674760818481,0.9685810208320618,0.7676281929016113,0.7692307233810425,9.0,136.0,0.46820977330207825,0.7369439005851746,0.9769230484962463
6,0.9466742873191833,0.8520020842552185,109.0,170.0,0.15709465742111206,0.9568965435028076,0.9719288945198059,0.7532051205635071,0.7692307233810425,6.0,148.0,0.5062692165374756,0.7218044996261597,0.9846153855323792
7,0.9501146674156189,0.8520020842552185,103.0,158.0,0.14922232925891876,0.9598780870437622,0.9734741449356079,0.7580128312110901,0.7692307233810425,7.0,144.0,0.5125204920768738,0.7267552018165588,0.9820512533187866
8,0.9495412707328796,0.8520020842552185,110.0,154.0,0.14316695928573608,0.9607843160629272,0.9716714024543762,0.7596153616905212,0.7692307233810425,5.0,145.0,0.5396811962127686,0.7264150977134705,0.9871794581413269
9,0.9533638954162598,0.8520020842552185,104.0,140.0,0.13501513004302979,0.9642766118049622,0.9732165932655334,0.7612179517745972,0.7692307233810425,4.0,145.0,0.5476481914520264,0.7269303202629089,0.9897435903549194
