epoch,binary_accuracy,f1_score,false_negatives,false_positives,loss,precision,recall,val_binary_accuracy,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall
0,0.7192278504371643,0.8520020842552185,206.0,1263.0,0.5840646624565125,0.744331955909729,0.946948230266571,0.625,0.7692307233810425,0.0,234.0,0.6292058825492859,0.625,1.0
1,0.7463685274124146,0.8520020842552185,18.0,1309.0,0.5155137777328491,0.7470042705535889,0.9953644275665283,0.625,0.7692307233810425,0.0,234.0,0.6067816615104675,0.625,1.0
2,0.7549694180488586,0.8520020842552185,11.0,1271.0,0.467286616563797,0.7528679966926575,0.9971671104431152,0.625,0.7692307233810425,0.0,234.0,0.5762416124343872,0.625,1.0
3,0.781154453754425,0.8520020842552185,18.0,1127.0,0.4209957420825958,0.7742387652397156,0.9953644275665283,0.6282051205635071,0.7692307233810425,0.0,232.0,0.5456427335739136,0.6270096302032471,1.0
4,0.8180428147315979,0.8520020842552185,41.0,911.0,0.37823763489723206,0.8083316087722778,0.9894411563873291,0.6522436141967773,0.7692307233810425,0.0,217.0,0.5129592418670654,0.642504096031189,1.0
5,0.8620030283927917,0.8520020842552185,58.0,664.0,0.33935853838920593,0.8520828485488892,0.9850630760192871,0.7035256624221802,0.7692307233810425,1.0,184.0,0.48352980613708496,0.6788830757141113,0.9974358677864075
6,0.9048165082931519,0.8520020842552185,101.0,397.0,0.3003844618797302,0.9050012230873108,0.9739891886711121,0.7291666865348816,0.7692307233810425,3.0,166.0,0.45992058515548706,0.6998191475868225,0.9923076629638672
7,0.928134560585022,0.8520020842552185,112.0,264.0,0.2690480649471283,0.9345725178718567,0.9711562991142273,0.7516025900840759,0.7692307233810425,3.0,152.0,0.4416410028934479,0.7179962992668152,0.9923076629638672
8,0.9375,0.8520020842552185,130.0,197.0,0.24067668616771698,0.950126588344574,0.9665207266807556,0.7612179517745972,0.7692307233810425,4.0,145.0,0.4284477233886719,0.7269303202629089,0.9897435903549194
9,0.9396024346351624,0.8520020842552185,145.0,171.0,0.21886801719665527,0.956254780292511,0.9626577496528625,0.7708333134651184,0.7692307233810425,4.0,139.0,0.41811037063598633,0.7352380752563477,0.9897435903549194
